datum;strom;einspeisung;gas;dle;wasser;garten
2010-01-01;58713;;929;;222;
2010-01-03;58748;;975;;223;
2010-01-10;58869;;1059;;225;
2010-01-17;58993;;1329;;228;
2010-01-24;59109;;1457;;230;
2010-01-31;59237;;1622;;233;
2010-02-07;59364;;1760;;235;
2010-02-14;59474;;1925;;238;
2010-02-21;59593;;2067;;240;
2010-02-28;59697;;2169;;243;
2010-03-07;59822;;2293;;246;
2010-03-14;59975;;2421;;1;
2010-03-21;60080;;2493;;4;
2010-03-28;60198;;2532;;7;
2010-04-04;60359;;2585;;11;
2010-04-11;60505;;2624;;15;
2010-04-18;60630;;2659;;19;
2010-04-25;60755;;2686;;24;
2010-05-02;60837;;2694;;28;
2010-05-09;60995;;2743;;32;
2010-05-16;61107;;2789;;35;
2010-05-23;61213;;2806;;39;
2010-05-30;61331;;2811;;43;
2010-06-06;61444;;2818;;47;
2010-06-13;61540;;2818;;50;
2010-06-20;61615;;2818;;59;
2010-06-27;61700;;2818;;63;
2010-07-04;61800;;2818;;65;
2010-07-11;61899;;2818;;71;
2010-07-18;62009;;2818;;76;
2010-07-25;62081;;2818;;77;
2010-08-01;62110;;2818;;79;
2010-08-08;62128;;2818;;79;
2010-08-15;62128;;2818;;79;
2010-08-22;62265;;2818;;84;
2010-08-29;62385;;2818;;88;
2010-09-05;62496;;2831;;91;
2010-09-12;62599;;2845;;94;
2010-09-19;62707;;2863;;97;
2010-09-26;62827;;2880;;100;
2010-10-03;62948;;2910;;103;
2010-10-10;63036;;2915;;105;
2010-10-17;63036;;2915;;105;
2010-10-24;63142;;3023;;107;
2010-10-31;63270;;3088;;110;
2010-11-07;63408;;3131;;114;
2010-11-14;63550;;3200;;117;
2010-11-21;63701;;3289;;120;
2010-11-28;63790;;3388;;122;
2010-12-05;63897;;3558;;124;
2010-12-12;64046;;3682;;127;
2010-12-19;64182;;3843;;130;
2010-12-26;64359;;3970;;133;
2011-01-02;64516;;4082;;136;
2011-01-09;64671;;4187;;139;
2011-01-16;64786;;4262;;142;
2011-01-23;64954;;4376;;145;
2011-02-06;65221;;4567;;151;
2011-02-13;65346;;4633;;153;
2011-02-20;65488;;4722;;156;
2011-02-27;65615;;4809;;159;
2011-03-06;65771;;4892;;162;
2011-03-13;65916;;4955;;165;
2011-03-27;66165;;5050;;170;
2011-04-03;66289;;5084;;173;
2011-04-10;66409;;5109;;176;
2011-04-17;66542;;5135;;180;
2011-04-24;66644;;5141;;183;
2011-05-01;66743;;5141;;186;
2011-05-08;66840;;5141;;191;
2011-05-15;66939;;5141;;197;
2011-05-22;67035;;5141;;203;
2011-05-29;67130;;5141;;208;
2011-06-05;67232;;5141;;214;
2011-06-12;67319;;5141;;217;
2011-06-19;67434;;5141;;221;
2011-06-26;67526;;5141;;223;
2011-07-03;;;5141;;;
2011-07-10;67723;;5141;;231;
2011-07-17;67824;;5141;;235;
2011-07-24;;;5141;;;
2011-07-31;68056;;5141;;242;
2011-08-07;;;5141;;;
2011-08-14;;;5141;;;
2011-08-21;68080;;5141;;242;
2011-08-28;68200;;5141;;245;
2011-09-04;68312;;5141;;248;
2011-09-11;68449;;5141;;252;
2011-09-18;68562;;5141;;255;
2011-09-25;68664;;5141;;258;
2011-10-02;68787;;5141;;261;
2011-10-09;68867;;5141;;263;
2011-10-16;68986;;5141;;267;
2011-10-23;69116;;5184;;269;
2011-10-30;69242;;5115;;272;
2011-11-06;69389;;5235;;276;
2011-11-13;69515;;5273;;278;
2011-11-20;69664;;5323;;282;
2011-11-27;69841;;5367;;285;
2011-12-04;70005;;5418;;289;
2011-12-11;70173;;5482;;292;
2011-12-18;70309;;5541;;295;
2012-01-08;70633;;5708;;300;
2012-01-15;70813;;5757;;304;
2012-01-22;70986;;5822;;307;
2012-01-29;71162;;5889;;311;
2012-02-05;71306;;5997;;314;
2012-02-12;71479;;6103;;318;
2012-02-19;71620;;6169;;321;
2012-02-26;71790;;6228;;324;
2012-03-04;71940;;6268;;328;
2012-03-11;72101;;6312;;332;
2012-03-18;72245;;6345;;336;
2012-03-25;72400;;6367;;339;
2012-04-01;;;6386;;343;
2012-04-08;72656;;6406;;348;
2012-04-15;72802;;6427;;350;
2012-04-22;72953;;6452;;353;
2012-04-29;73093;;6469;;357;
2012-05-06;73207;;6472;;360;
2012-05-13;73350;;6472;;364;
2012-05-20;;;6472;;;
2012-05-27;73563;;6472;;371;
2012-06-03;73650;;6472;;375;
2012-06-10;73773;;6472;;379;
2012-06-17;;;6472;;;
2012-06-24;73989;;6472;;385;
2012-07-01;;;6472;;;
2012-07-08;74209;;6472;;392;
2012-07-15;74307;;6472;;395;
2012-07-22;74378;;6472;;397;
2012-07-29;74471;;6472;;401;
2012-08-05;;;6472;;;
2012-08-12;74514;;6472;;403;
2012-08-19;;;6472;;;
2012-08-26;74705;;6472;;410;
2012-09-02;74812;;6472;;414;
2012-09-09;74928;;6472;;418;
2012-09-16;75048;;6472;;422;
2012-09-23;75199;;6472;;427;
2012-09-30;;;6472;;;
2012-10-07;;;6472;;;
2012-10-14;75565;;6472;;437;
2012-10-21;75688;;;;440;
2012-10-28;75806;;6479;;443;
2012-11-11;76056;;6555;;449;
2012-11-18;76191;;6602;;453;
2012-11-25;76311;;6635;;455;
2012-12-02;76447;;6670;;458;
2012-12-09;76585;;6725;;461;
2012-12-23;76882;;6809;;467;
2013-01-01;76983;;6866;;469;
2013-02-01;77630;;7091;;483;
2013-03-01;78278;;7316;;498;
2013-04-01;78925;;7483;;510;
2013-05-01;79549;;7578;;526;
2013-06-01;80095;;;;541;
2013-09-01;81228;;;;582;
2013-10-01;81831;;;;598;
2013-11-01;82385;;;;611;
2013-12-01;83078;;7705;;625;
2014-01-01;83863;;7900;;641;
2014-02-01;84714;;8113;;658;
2014-03-01;85446;;8266;;672;
2014-04-01;86162;;8353;;691;
2014-06-01;87302;;8367;;727;
2014-07-01;87780;;8367;;744;
2014-08-01;87898;;8367;;749;
2014-09-01;88495;;8367;;767;
2014-10-01;89086;;8367;;784;
2014-11-01;89619;;8399;;787;
2014-12-01;90330;;8519;;813;
2015-01-01;91085;;8698;;828;
2015-03-01;92571;;9090;;859;
2015-04-01;93359;;9209;;875;
2015-05-01;94005;;9262;;893;
2015-06-01;94569;;9273;;910;
2015-07-01;;;9273;;;
2015-08-01;95407;;9273;;939;
2015-09-01;95936;;9273;;958;
2015-11-01;97038;;9343;;987;
2015-12-01;97692;;;;1003;
2016-01-01;98322;;9510;;1015;
2016-05-01;101207;;9935;;1079;
2016-08-01;102804;;9944;;1130;
2016-10-01;103810;;9944;;5;
2016-11-01;104249;;9974;;20;
2016-12-01;104834;;10091;;32;
2017-01-01;105506;;10259;;46;
2017-06-01;108665;;10808;;121;
2017-07-01;109085;;;;139;
2017-09-01;109872;;;;171;
2017-10-01;110376;;;;175;
2017-12-01;111495;;200;;199;
2018-01-01;112264;;364;;214;
2018-02-01;112114;;517;;228;
2018-03-01;113399;;699;;237;
2018-04-01;113990;;817;;250;
2018-05-01;114539;;839;;264;
2018-06-01;114955;;841;;276;
2018-07-01;115431;;841;;290;
2018-08-01;115863;;841;;311;
2018-09-01;116165;;847;;321;
2018-10-01;116592;;333;;333;
2018-12-01;117717;;992;;359;
2019-01-01;118356;;1149;;371;
2019-03-01;119877;;1549;;401;
2019-04-01;120511;;1675;;415;
2019-10-01;123174;;1781;;500;
2019-11-01;123665;;1818;;511;
2019-12-01;124320;;1975;;525;
2020-01-01;124891;;2152;;536;
2020-04-01;126854;;2549;;577;
2020-05-01;127482;;2568;;597;
2020-06-01;127948;;2577;;614;
2020-07-01;128403;;2580;;623;
2020-10-01;129720;;2587;;659;
2020-11-01;130286;;2650;;673;
2020-12-01;130867;;2742;;686;
2021-01-01;131641;;2923;;702;
2022-01-01;138983;;3875;;893;
2022-10-16;144024;;4283;;56;
2022-10-23;144129;;4283;;58;
2022-10-30;144233;;4283;;60;
2022-11-06;144356;;4283;;63;
2022-11-13;144468;;4283;;65;
2022-11-20;144560;;4283;;67;
2022-11-27;144671;;4287;;69;
2022-12-04;144815;;4305;;72;
2022-12-11;144931;;4326;;74;
2022-12-18;145056;;4367;;78;
2022-12-25;145231;;4382;;79;
2023-01-01;145337;;4397;;81;
2023-01-08;145476;;4411;;84;
2023-01-15;145596;;4427;;86;
2023-01-22;145714;;4462;;88;
2023-01-29;145848;;4502;;91;
2023-02-05;146018;;4530;;94;
2023-02-12;146195;;4561;;97;
2023-02-19;146375;;4576;;101;
2023-02-26;146511;;4597;;103;
2023-03-05;146690;;4633;;106;
2023-03-12;146881;;4663;;110;
2023-03-19;147044;;4685;;113;
2023-03-26;147227;;4698;;117;
2023-04-02;147387;;4719;;121;
2023-04-16;147678;;4757;;127;
2023-06-01;148489;;4782;;148;
2023-07-01;148800;;4782;;163;
2023-08-01;149790;;4784;;190;
2023-10-01;150282;;4785;;202;
2023-11-01;150817;;4817;;213;
2023-12-01;151472;;4923;;225;
2024-01-01;152111;;5042;;238;
2024-02-01;152800;;5239;;250;
2024-03-01;153497;;5355;;285;
2024-04-01;154168;;5442;;279;
